uuid,name,value,settings type,modified
50fbdab6d52d4c6389918b88b5bcb30e,hhs.clitt.breadcrumb.color,blue,environment,2023-07-26 13:21:53
21907637c4484826af3d5b0934f9d89d,hhs.clitt.checked.icon.color,marked,environment,2023-07-26 13:23:22
93923de763cd45d0a39c5f1067cb0958,hhs.clitt.error.color,red,environment,2023-07-26 11:58:18
5ca5087ed0024304a66aed11225a2f60,hhs.clitt.highlight.color,cyan,environment,2023-07-26 13:20:23
538fd57727ce458fb3af40988d36be54,hhs.clitt.items.per.line,6,environment,2023-07-26 11:55:57
2b42cbfa028142b9a91128a4a9ec17f5,hhs.clitt.max.rows,10,environment,2023-07-26 11:55:41
6df9b26d252f49a68d770c80bd475d2c,hhs.clitt.navbar.color,yellow,environment,2023-07-26 13:20:36
dd813959bd2943cd9d929ccd54026dc5,hhs.clitt.sel.bg.color,blue,environment,2023-07-26 13:22:12
f3e0b9c28e0942dc8b4fffc8373d36fa,hhs.clitt.selected.icon.color,pointer,environment,2023-07-26 13:22:49
f20de49530544f4da5c6d65ad625eced,hhs.clitt.success.color,green,environment,2023-07-26 11:57:37
f330cf6533254d73847c106001c39cdb,hhs.clitt.text.color,white,environment,2023-07-26 11:57:07
6786433a845b4cc281a873d10b793f80,hhs.clitt.title.color,orange,environment,2023-07-26 11:56:47
c67236828fa344629ff269b37ae7d775,hhs.clitt.title.line.length,30,environment,2023-07-26 11:56:24
680916acf271478887a29cf6c132d266,hhs.clitt.tooltip.color,green,environment,2023-07-26 13:20:58
31155c1621ad4d7cb3aec6a237180356,hhs.clitt.unchecked.icon.color,unmarked,environment,2023-07-26 13:23:35
c22fe438c77d4c6b9333d1a1ed98615b,hhs.clitt.unselected.icon.color,no_icon,environment,2023-07-26 13:23:07
6c234e991d7a486f9e12d5173764f0e0,hhs.clitt.warning.color,yellow,environment,2023-07-26 11:58:06
